45.670 1.030 135    FMS    C    SS    10.000    FRA    107    NO    CCB    1000
46.280 1.430 97    FMS    C    NF    16.000    FRA    108    NO    CCB    1060
46.350 1.640 118    FMS    C    SS    11.000    FRA    109    NO    CCB    1064
46.320 2.130 168    FMS    C    NS    9.000    FRA    110    NO    CCB    1054
44.530 2.510 168    FMS    C    NF    6.000    FRA    111    NO    CCB    853
44.560 2.640 161    FMS    C    NS    4.000    FRA    112    NO    CCB    855
43.690 3.290 37    FMS    C    NF    8.000    FRA    113    NO    CCB    750
43.030 3.750 61    FMS    C    SS    6.000    SEA    18    NO    CCB    672
54.080 -2.570 135    HF    C    TS    0.214    GBR    2    NO    OSR    1435
52.760 -1.300 91    HF    B    TS    0.756    GBR    3    NO    OSR    1603
52.880 -0.870 148    HF    C    TS    0.511    GBR    4    NO    OSR    1605
50.180 -5.270 143    HF    C    TS    0.279    GBR    5    NO    OCB    1547
53.540 -0.430 145    BO    C    U    1.459    GBR    10    NO    OSR    1558
50.184 -5.282 140    OC    B    TF    0.642    GBR    11    NO    OCB    1547
50.100 -5.200 124    FMS    C    SS    6.000    GBR    12    NO    OCB    1540
56.040 -4.910 177    FMS    C    NS    7.000    GBR    14    NO    OSR    1173
53.400 -1.000 129    BO    A    U    0.185    GBR    15    NO    OSR    1552
53.383 -0.973 144    HFM    B    SS    0.460    GBR    17    NO    OSR    1554
52.774 -0.992 155    HFM    C    SS    0.460    GBR    18    NO    OSR    1612
52.470 -1.637 152    HFM    A    SS    0.681    GBR    21    NO    OSR    1618
53.907 -1.060 12    HFM    B    SS    0.848    GBR    22    NO    OSR    1502
53.000 -1.000 136    HFM    A    SS    0.843    GBR    23    NO    OSR    1590
52.958 -4.398 136    FMS    C    SS    22.800    GBR    24    NO    OTF    1478
53.120 -4.097 120    OC    B    TF    0.280    GBR    25    NO    OSR    1472
53.300 -0.900 114    BO    C    U    0.518    GBR    26    NO    OSR    1565
53.260 -0.490 145    BO    C    U    1.155    GBR    27    NO    OSR    1582
52.900 -0.800 150    BOC    B    U    0.850    GBR    28    NO    OSR    1606
50.169 -5.186 156    HF    C    SS    2.200    GBR    29    NO    OCB    1548
41.460 23.850 107    FMS    C    NF    15.000    BGR    1    NO    CRB    167
38.240 23.260 54    FMS    C    NF    5.600    GRC    12    NO    CTF    43
40.867 25.617 73    GFI    C    NF    0.000    SEA    30    NO    CTF    68
40.877 26.057 83    GFI    A    NF    0.000    GRC    15    NO    CTF    53
40.917 25.917 84    GFI    A    NF    0.000    GRC    16    NO    CTF    62
39.270 23.040 89    FMS    C    NF    10.000    SEA    31    NO    CTF    31
38.170 23.120 62    FMS    C    NF    6.700    SEA    32    NO    CTF    36
40.667 23.333 74    GFI    A    NF    0.000    GRC    18    NO    CRB    101
40.667 23.333 97    GFI    A    NF    0.000    GRC    19    NO    CRB    101
40.683 23.050 62    GFI    B    NF    0.000    GRC    20    NO    CRB    117
40.867 23.882 88    GFI    B    NF    0.000    GRC    21    NO    CRB    104
40.867 23.882 78    GFI    B    NF    0.000    GRC    22    NO    CRB    104
41.125 23.567 34    GFI    A    NF    0.000    GRC    23    NO    CRB    139
41.125 23.567 90    GFI    A    NF    0.000    GRC    24    NO    CRB    139
40.053 22.127 103    GFI    C    NF    0.000    GRC    25    NO    CTF    141
40.850 22.117 70    GFI    B    NF    0.000    GRC    26    NO    CTF    189
40.040 22.203 83    GFI    B    NF    0.000    GRC    27    NO    CTF    135
40.033 22.028 72    GFI    B    NF    0.000    GRC    28    NO    CTF    148
38.340 22.860 77    FMS    C    NF    9.000    GRC    29    NO    CTF    7
37.110 22.140 11    FMS    C    NF    6.200    GRC    30    NO    SUB    90
35.650 23.530 6    FMS    C    NF    13.000    SEA    38    NO    SUB    60
40.750 23.220 75    FMS    C    NF    15.000    GRC    31    NO    CRB    114
39.310 22.920 108    FMS    C    NF    15.000    SEA    41    NO    CTF    42
39.270 22.660 71    FMS    C    NF    15.000    GRC    32    NO    CTF    59
38.210 23.130 72    FMS    C    NF    15.000    GRC    33    NO    CTF    34
40.510 23.920 116    FMS    C    SS    15.000    SEA    42    NO    CRB    65
38.380 22.070 105    FMS    C    NF    15.000    SEA    43    NO    CRB    2
41.240 23.930 72    FMS    C    NF    21.000    GRC    35    NO    CRB    142
47.368 21.729 116    BO    B    U    1.810    HUN    1    NO    CRB    844
46.365 19.516 35    BO    B    U    0.000    HUN    2    NO    CRB    803
46.366 19.530 100    BO    C    U    0.000    HUN    3    NO    CRB    803
47.204 21.215 41    BO    C    U    1.121    HUN    4    NO    CRB    838
46.667 17.187 138    BO    C    U    0.000    HUN    6    NO    OTF    835
46.780 16.353 104    BO    A    U    2.200    SVN    1    NO    OTF    856
47.982 22.113 100    BO    C    U    1.570    HUN    7    NO    CTF    897
46.321 19.989 73    BO    C    U    2.600    HUN    8    NO    CRB    782
47.415 21.787 39    BO    B    U    2.640    HUN    9    NO    CRB    847
46.851 20.179 14    BO    B    U    2.110    HUN    10    NO    CRB    830
47.239 20.653 62    BO    C    U    1.335    HUN    12    NO    CRB    857
46.859 20.789 47    BO    C    U    2.637    HUN    13    NO    CRB    814
47.025 21.047 87    BO    B    U    2.142    HUN    16    NO    CRB    824
46.983 21.431 81    BO    C    U    2.093    HUN    17    NO    CRB    810
47.351 17.666 124    BO    B    U    1.100    HUN    18    NO    OTF    909
47.244 20.422 71    BO    B    U    1.875    HUN    19    NO    CRB    863
46.397 20.809 76    BO    C    U    1.377    HUN    20    NO    CRB    765
46.279 19.839 55    BO    A    U    2.570    HUN    21    NO    CRB    783
46.279 19.839 69    BO    C    U    2.032    HUN    23    NO    CRB    783
46.707 19.922 37    BO    C    U    3.330    HUN    25    NO    CRB    823
46.694 20.454 7    BO    C    U    3.080    HUN    26    NO    CRB    806
54.167 -6.417 34    OC    C    U    0.185    GBR    30    NO    OSR    1297
44.850 11.200 160    BO    C    U    0.000    ITA    5    NO    SUB    642
40.760 15.330 132    FMS    C    NF    10.000    ITA    6    NO    SUB    233
36.700 14.750 146    OC    C    U    0.000    SEA    45    NO    CTF    90
41.133 14.948 145    FMS    C    NF    8.000    ITA    15    NO    SUB    266
43.570 7.980 85    FMS    C    SS    13.000    SEA    46    NO    SUB    561
43.440 7.440 161    FMS    C    SS    11.000    SEA    47    NO    SUB    570
44.430 7.260 122    FMS    C    NF    2.000    ITA    16    NO    SUB    673
44.880 8.220 163    FMS    C    NF    5.000    ITA    17    NO    SUB    689
45.010 7.350 118    FMS    C    SS    7.000    ITA    20    NO    SUB    728
44.970 7.390 101    FMS    C    TF    5.000    ITA    21    NO    SUB    722
45.190 7.150 52    FMS    C    NS    5.000    ITA    22    NO    SUB    752
44.430 7.500 39    FMS    C    TS    6.000    ITA    23    NO    SUB    664
44.410 7.230 49    FMS    C    TF    0.000    ITA    24    NO    SUB    672
44.520 7.340 20    FMS    C    TF    10.000    ITA    25    NO    SUB    679
