!Plate boundaries by Peter Bird (2003)
>   AF   AN
  68.6069   -5.4719    IN    SO
  68.2191   -5.8910    IN    SO
  67.7823   -6.2593    IN    SO
  68.2738   -6.8109    IN    SO
>   NA   AF
 -46.7658   15.4506    NA    AF
 -46.6476   16.0187    NA    AF
 -46.5287   16.5868    NA    AF
 -46.5887   16.6067    NA    AF
 -46.4982   17.0865    NA    AF
 -46.4072   17.5663    NA    AF
 -46.5202   17.5883    NA    AF
 -46.3907   18.4220    NA    AF
 -46.3182   18.4215    NA    AF
 -46.2243   18.9351    NA    AF
 -46.1844   18.9319    NA    AF
 -46.0932   19.3773    NA    AF
 -46.0015   19.8227    NA    AF
 -45.9398   19.8022    NA    AF
 -45.7737   20.6180    NA    AF
 -45.5570   20.5958    NA    AF
 -45.4187   21.2217    NA    AF
 -45.5152   21.2465    NA    AF
 -45.3853   21.8223    NA    AF
 -45.2483   21.8064    NA    AF
 -45.1574   22.3898    NA    AF
 -45.0658   22.9731    NA    AF
 -45.0239   22.9632    NA    AF
 -44.9245   23.6459    NA    AF
 -45.6993   23.7836    NA    AF
 -46.4758   23.9174    NA    AF
 -46.1961   24.5974    NA    AF
 -46.1188   24.5904    NA    AF
 -45.7915   25.2542    NA    AF
 -45.4988   25.1918    NA    AF
 -45.2960   25.6367    NA    AF
 -45.0917   26.0814    NA    AF
 -44.8989   26.0554    NA    AF
 -44.8163   26.2700    NA    AF
 -44.8666   26.2796    NA    AF
 -44.6870   26.7668    NA    AF
 -44.5059   27.2538    NA    AF
 -44.3831   27.2355    NA    AF
 -44.2031   27.6713    NA    AF
 -44.0217   28.1069    NA    AF
 -43.9423   28.1049    NA    AF
 -43.5632   28.8108    NA    AF
 -43.4828   28.8021    NA    AF
 -43.0882   29.4691    NA    AF
 -43.0373   29.4714    NA    AF
 -42.7286   30.0697    NA    AF
 -42.1364   29.9733    NA    AF
 -41.7857   30.6056    NA    AF
 -41.4304   31.2370    NA    AF
 -41.1836   31.1941    NA    AF
 -40.7100   31.8173    NA    AF
 -40.5526   31.8025    NA    AF
 -40.1293   32.4440    NA    AF
 -39.6999   33.0841    NA    AF
 -39.5860   33.0673    NA    AF
 -39.3993   33.7676    NA    AF
 -38.5972   33.6370    NA    AF
 -37.7975   33.5012    NA    AF
 -37.6776   33.7362    NA    AF
 -37.5328   33.7052    NA    AF
 -37.3364   34.1362    NA    AF
 -37.2446   34.1238    NA    AF
 -37.0461   34.5669    NA    AF
 -36.8618   34.5542    NA    AF
 -36.7846   34.7122    NA    AF
 -36.6231   34.6929    NA    AF
 -36.3731   35.2798    NA    AF
 -35.5584   35.1477    NA    AF
 -34.7464   35.0102    NA    AF
 -34.4595   35.6246    NA    AF
 -34.3354   35.6160    NA    AF
 -34.1424   36.0794    NA    AF
 -34.0568   36.0713    NA    AF
 -33.9816   36.2212    NA    AF
 -33.7717   36.1850    NA    AF
 -33.5947   36.7422    NA    AF
 -33.3135   36.6910    NA    AF
 -33.2246   36.9408    NA    AF
 -33.0049   36.9159    NA    AF
 -32.9431   37.0654    NA    AF
 -32.7077   37.0333    NA    AF
 -32.6456   37.1763    NA    AF
 -32.3946   37.1369    NA    AF
 -32.2826   37.3915    NA    AF
 -31.5164   37.2823    NA    AF
 -31.3713   37.7049    NA    AF
 -31.0706   37.6802    NA    AF
 -30.6055   38.4025    NA    AF
 -30.4301   38.3883    NA    AF
 -30.1714   38.8880    NA    AF
 -29.9091   39.3871    NA    AF
 -29.7698   39.3996    NA    AF
>   AF   SA
 -46.7658   15.4506    AF    SA
 -45.9475   15.3604    AF    SA
 -45.1300   15.2673    AF    SA
 -45.1362   14.6467    AF    SA
 -45.1423   14.0261    AF    SA
 -45.0614   13.9917    AF    SA
 -45.0493   13.3358    AF    SA
 -45.0373   12.6799    AF    SA
 -44.2620   12.6256    AF    SA
 -44.2775   12.1008    AF    SA
 -43.8845   12.0854    AF    SA
 -43.9026   11.5062    AF    SA
 -43.9206   10.9270    AF    SA
 -43.4482   10.9055    AF    SA
 -42.9758   10.8832    AF    SA
 -42.5035   10.8602    AF    SA
 -42.0313   10.8365    AF    SA
 -41.5592   10.8121    AF    SA
 -41.0871   10.7869    AF    SA
 -41.0829    9.9794    AF    SA
 -40.8615    9.9727    AF    SA
 -40.8648    9.3894    AF    SA
 -40.6402    9.3728    AF    SA
 -40.6522    8.8406    AF    SA
 -40.1196    8.8153    AF    SA
 -40.1408    8.2154    AF    SA
 -39.6608    8.1973    AF    SA
 -39.1808    8.1786    AF    SA
 -38.7009    8.1593    AF    SA
 -38.2210    8.1395    AF    SA
 -38.2065    7.7033    AF    SA
 -37.5356    7.6794    AF    SA
 -36.8648    7.6543    AF    SA
 -36.8514    7.4009    AF    SA
 -36.0577    7.3634    AF    SA
 -36.0469    7.0232    AF    SA
 -35.3665    6.9349    AF    SA
 -35.3629    6.6139    AF    SA
 -34.4937    6.6158    AF    SA
 -33.6244    6.6176    AF    SA
 -33.6203    6.1042    AF    SA
 -33.5136    6.0762    AF    SA
 -33.5068    5.6495    AF    SA
 -32.9780    5.6472    AF    SA
 -32.9198    4.8038    AF    SA
 -32.8617    3.9604    AF    SA
 -32.3870    3.9859    AF    SA
